year-month-date,volume,open,high,low,close
2010-06-03,177968922,27.40,27.40,27.15,27.25
2010-06-04,96920868,27.20,27.30,27.00,27.05
2010-06-07,153519208,26.20,26.85,26.20,26.65
2010-06-08,83644934,26.50,27.00,26.50,26.85
2010-06-09,173196035,27.15,27.15,26.75,26.80
2010-06-10,143573568,27.00,27.05,26.45,27.00
2010-06-11,212565839,27.20,27.45,27.15,27.30
2010-06-14,189992066,27.45,27.50,27.25,27.40
2010-06-15,256284629,27.40,27.65,27.30,27.60
2010-06-17,248045912,27.60,27.80,27.60,27.70
2010-06-18,394618095,27.90,28.00,27.50,27.80
2010-06-21,438978127,28.40,28.60,28.10,28.35
2010-06-22,227449313,28.30,28.50,28.20,28.40
2010-06-23,184671566,28.40,28.40,27.90,28.10
2010-06-24,128225022,28.00,28.10,27.80,28.10
2010-06-25,167544506,27.80,27.80,27.60,27.70
2010-06-28,149488418,27.75,27.90,27.60,27.60
2010-06-29,282129479,27.95,28.25,27.60,27.60
2010-06-30,232247541,27.10,27.30,27.00,27.30
2010-07-01,155506259,27.20,27.20,26.90,27.00
2010-07-02,178041114,27.20,27.65,27.10,27.40
2010-07-05,234734625,27.60,28.30,27.25,28.20
2010-07-06,530082106,28.00,29.05,28.00,29.00
2010-07-07,222963052,29.00,29.00,28.50,28.55
2010-07-08,215246992,28.80,28.95,28.45,28.55
2010-07-09,367489920,28.55,29.00,28.55,28.95
2010-07-12,325663158,29.10,29.20,29.00,29.05
2010-07-13,504650730,29.05,29.15,28.85,28.85
2010-07-14,717782225,27.30,27.75,27.30,27.75
2010-07-15,269461352,27.75,27.75,27.50,27.50
2010-07-16,676436938,27.55,27.85,26.90,27.25
2010-07-19,296717709,27.00,27.30,26.75,27.30
2010-07-20,239697602,27.30,27.65,26.90,27.50
2010-07-21,152603992,27.60,27.65,27.20,27.35
2010-07-22,559444795,27.60,28.25,27.50,28.10
2010-07-23,435528465,28.35,28.70,28.10,28.50
2010-07-26,309753972,28.80,28.80,28.30,28.75
2010-07-27,125267482,28.65,28.80,28.35,28.35
2010-07-28,322735424,28.25,28.75,28.20,28.65
2010-07-29,872586390,28.80,29.50,28.50,29.35
